listing_id,date
2390109,2014-11-01
2390109,2014-11-10
2390109,2014-11-25
2390109,2014-11-29
2390109,2015-01-04
2390109,2015-01-19
2390109,2015-01-24
2390109,2015-01-25
2390109,2015-02-13
2390109,2015-02-15
2390109,2015-02-24
2390109,2015-03-09
2390109,2015-03-17
2390109,2015-03-28
2390109,2015-04-18
2390109,2015-04-20
2390109,2015-04-26
2390109,2015-05-02
2390109,2015-05-04
2390109,2015-05-12
2390109,2015-05-19
2390109,2015-06-14
2390109,2015-07-06
2390109,2015-07-10
2390109,2015-07-11
2390109,2015-07-12
2390109,2015-07-19
2390109,2015-07-27
2390109,2015-08-03
2390109,2015-08-16
2390109,2015-08-23
2390109,2015-08-30
2390109,2015-09-07
2390109,2015-09-21
2390109,2015-09-23
2390109,2015-09-26
2390109,2015-10-04
2390109,2015-10-21
2390109,2015-10-24
2390109,2015-10-25
2390109,2015-11-06
577473,2013-07-12
577473,2013-12-01
577473,2014-05-20
577473,2015-02-03
577473,2015-02-18
577473,2015-03-23
577473,2015-04-10
577473,2015-04-16
577473,2015-06-01
577473,2015-06-22
577473,2015-07-29
577473,2015-08-10
2266768,2014-02-14
2266768,2014-02-16
2266768,2014-02-19
2266768,2014-02-24
2266768,2014-03-01
2266768,2014-03-09
2266768,2014-03-12
2266768,2014-03-18
2266768,2014-03-22
2266768,2014-03-23
2266768,2014-03-25
2266768,2014-03-31
2266768,2014-04-24
2266768,2014-04-29
2266768,2014-05-05
2266768,2014-05-06
2266768,2014-05-12
2266768,2014-05-13
2266768,2014-05-15
2266768,2014-05-17
2266768,2014-05-20
2266768,2014-05-26
2266768,2014-05-27
2266768,2014-05-29
2266768,2014-06-01
2266768,2014-06-05
2266768,2014-06-07
2266768,2014-06-11
2266768,2014-06-16
2266768,2014-06-17
2266768,2014-06-22
2266768,2014-06-30
2266768,2014-07-01
2266768,2014-07-07
2266768,2014-07-16
2266768,2014-07-22
2266768,2014-07-29
2266768,2014-08-06
2266768,2014-08-07
2266768,2014-08-11
2266768,2014-08-23
2266768,2014-08-25
2266768,2014-09-01
2266768,2014-09-07
2266768,2014-09-21
2266768,2014-09-29
2266768,2014-10-12
2266768,2014-10-14
2266768,2014-10-19
2266768,2014-10-24
2266768,2014-10-26
2266768,2014-10-28
2266768,2014-11-03
2266768,2014-11-08
2266768,2014-11-16
2266768,2014-11-22
2266768,2015-01-12
2266768,2015-01-20
2266768,2015-01-25
2266768,2015-01-31
2266768,2015-02-04
2266768,2015-02-16
2266768,2015-02-25
2266768,2015-03-07
2266768,2015-03-08
2266768,2015-03-12
2266768,2015-03-18
2266768,2015-03-19
2266768,2015-03-22
2266768,2015-03-26
2266768,2015-03-28
2266768,2015-03-29
2266768,2015-03-31
2266768,2015-04-05
2266768,2015-04-08
2266768,2015-04-10
2266768,2015-04-12
2266768,2015-04-18
2266768,2015-04-20
2266768,2015-05-08
2266768,2015-05-11
2266768,2015-05-12
2266768,2015-05-16
2266768,2015-05-20
2266768,2015-05-23
2266768,2015-05-25
2266768,2015-05-29
2266768,2015-06-01
2266768,2015-06-07
2266768,2015-06-18
2266768,2015-06-19
2266768,2015-06-25
2266768,2015-06-29
2266768,2015-07-01
2266768,2015-07-06
2266768,2015-07-11
2266768,2015-07-12
2266768,2015-07-17
2266768,2015-07-22
2266768,2015-07-26
2266768,2015-07-29
2266768,2015-08-08
2266768,2015-08-09
2266768,2015-08-10
2266768,2015-08-16
2266768,2015-08-23
2266768,2015-08-30
2266768,2015-09-08
2266768,2015-09-13
2266768,2015-09-21
2266768,2015-09-22
2266768,2015-09-27
2266768,2015-10-09
2266768,2015-10-12
2266768,2015-10-17
2266768,2015-10-19
2266768,2015-10-21
2266768,2015-10-26
1735938,2014-10-07
1735938,2014-10-14
1735938,2014-10-26
