id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
72635,"3 Private Bedrooms, SW Austin",377044,Jason & Marcie,,78739,30.202823795785008,-97.88430895565078,Private room,300,2,1,2011-03-21,0.02,1,240
5386323,Cricket Trailer,27922117,Michael,,78739,30.19941405604094,-97.90068356851768,Private room,99,3,0,,,1,364
8826517,Private room 1 in South Austin,46230038,Ric,,78739,30.16849634313263,-97.86448296572205,Private room,100,1,0,,,2,365
8828616,Private room 2 in South Austin,46230038,Ric,,78739,30.168621289630067,-97.86487419131959,Private room,100,1,0,,,2,365
8536913,Brand-New 3BR Austin Home,31148752,Bo,,78739,30.16942556547455,-97.88831864172388,Entire home/apt,599,2,0,,,2,358
8542056,Private room & Bathroom.,44939694,,,78739,30.18676367565741,-97.9074429978643,Private room,100,1,0,,,1,365
6385948,"S. Austin, convenient to MoPac",33287946,Jennie,,78739,30.187695266847726,-97.92021715551186,Private room,54,1,0,,,1,301
8486890,Cozy private room 15 mins frm dtwn,11448084,Prerna,,78739,30.183183409011278,-97.89098664019055,Private room,40,1,2,2015-11-01,2,1,312
8633580,Room to rent,45398195,Aurore Et Jeremy,,78739,30.189291843216004,-97.86937281577009,Private room,130,1,0,,,1,355
5293632,Southwest Austin Retreat,1988520,,,78739,30.170423708223083,-97.8699974399975,Private room,44,1,20,2015-10-13,2.52,1,364
7659967,Bright Comfy Room in Spacious Home,39813308,,,78739,30.19514503169469,-97.87325404009252,Private room,99,2,0,,,1,364
4045302,"Studio apartment w/ Pvt bath, Pool ",1456033,Neha,,78739,30.151968229337918,-97.85736967249024,Private room,50,3,9,2015-10-28,0.69,1,84
2989616,South Austin Private room2,7567467,Chalu,,78739,30.18864482730461,-97.88932170078948,Private room,49,2,4,2015-10-12,1.41,5,360
2853144,South Austin Private room,7567467,,,78739,30.189162849076535,-97.88786222485717,Private room,50,3,7,2015-07-27,0.39,5,364
330710,Austin Zen Stay / Longhorn Room 10,1427814,Andrea,,78754,30.328618822885176,-97.67665486492619,Private room,55,1,14,2015-10-13,0.32,10,365
5370554,"Cozy apartment in N. Austin
",27839802,Sarah,,78754,30.37968425909236,-97.65205261008482,Entire home/apt,180,1,0,,,1,238
6629676,Nice and quiet private guest room,34704670,Victor,,78754,30.376729074806224,-97.6573084643585,Private room,36,1,6,2015-10-11,1.17,2,356
8689127,Near downtown on greenbelt!,32007715,Chris,,78754,30.366855525023166,-97.6531926244074,Private room,125,1,0,,,2,365
7988725,Lovely apartment in gated community,42163493,,,78754,30.381176471294975,-97.65075698832307,Entire home/apt,59,2,0,,,1,69
5260962,Master Bed in French Country Home!,13935640,K,,78754,30.335078768790506,-97.64788403506869,Private room,49,1,4,2015-07-06,0.51,2,254
6628321,Williamson House,33242818,Catie,,78754,30.37295044177941,-97.65846978440068,Private room,40,1,0,,,1,132
7451505,Private room on Walnut Creek,7960961,Grant,,78754,30.37092794552818,-97.66301063020185,Private room,150,1,0,,,1,365
1704476,Huge rental 10 min to everything!,5685651,Douglas,,78754,30.3762717413604,-97.65423270701305,Private room,175,1,0,,,1,365
2432311,Large Private Bed/Bathroom in Home,12432655,Nicole,,78754,30.357320598108267,-97.64198872233816,Private room,50,1,76,2015-11-02,3.74,1,153
9298752,Comfortable relaxing house,48273901,Christine,,78754,30.37438161830868,-97.65397708310525,Entire home/apt,120,1,0,,,1,360
7725153,3 bedroom home 15 minutes from DT,40591749,Kevin,,78754,30.334929488264294,-97.64619873646447,Entire home/apt,450,1,0,,,1,68
3928248,Private Bed in Cozy French House!,13935640,K,,78754,30.33455215942941,-97.65012697255155,Private room,49,1,14,2015-10-14,0.97,2,354
6749902,Cozy and private guest room,34704670,Victor,,78754,30.37688928859114,-97.65697961257028,Private room,36,1,8,2015-10-31,1.86,2,364
6169536,Near downtown Austin on greenbelt!,32007715,Chris,,78754,30.36832708507449,-97.65316172870577,Private room,75,1,1,2015-10-17,1,2,365
5839837,Room in a House in Northeast Austin,11277513,,,78754,30.363821631545772,-97.61802795945525,Private room,50,1,1,2015-10-13,1,1,353
5625550,Master Suite in Nice Austin Home,28705030,,,78754,30.37510553778606,-97.64849103447982,Private room,70,1,0,,,1,365
6691572,Private Room in Large Home,33918864,Tracy,,78754,30.345104561214878,-97.61362260100056,Private room,36,1,0,,,1,358
5682731,HUGE ROOM W/ BATH -- CLS TO DWNTOWN,29281190,Lucy,,78754,30.40238265380577,-97.64495064724197,Private room,110,1,0,,,1,365
6616920,Just an extra room in a house,34631231,Todd,,78754,30.368781195200476,-97.66499922783206,Private room,200,1,0,,,1,134
6194285,Private spacious two-story home,22586923,,,78754,30.373272983677143,-97.65138221800524,Private room,34,1,16,2015-10-24,2.55,1,342
8098091,Beautiful Upscale Townhome/Apt,42762241,Abraham,,78732,30.380728551336258,-97.87624318905306,Private room,59,1,2,2015-10-27,1.43,1,365
1865762,Private home in Steiner Ranch,9728400,Justin,,78732,30.347356012286074,-97.91258737999935,Private room,155,1,0,,,1,365
8466296,Lake Travis Wraparound Deck House,31148752,Bo,,78732,30.391936419266173,-97.88250471503841,Entire home/apt,700,2,1,2015-10-12,1,2,340
8537281,Hillside Villa on Lake Travis,31148752,Bo,,78732,30.39172137499785,-97.89440197049474,Entire home/apt,819,2,0,,,2,351
4267135,3BR/2BA Luxury Lakeside Estate ,4641823,Erica,,78732,30.395974458971146,-97.88413982552973,Entire home/apt,1200,2,2,2015-04-27,0.25,7,0
753947,Lake Austin Waterfront Estate,3966350,Stephen,,78732,30.38379913650124,-97.91320916727358,Entire home/apt,1250,3,6,2015-08-24,0.41,1,365
8029167,Romantic Castle Apt.- Lake Travis,42393385,Elise,,78732,30.407324471139376,-97.87520108382581,Private room,250,2,1,2015-09-10,0.51,1,358
3802766,"2 Bedroom, 1 Full bath, Kitchenette",19538456,Charles,,78732,30.3931228763538,-97.88309094862267,Private room,300,1,0,,,1,365
6625221,Austin stone home with pool!,34676081,Shannon,,78732,30.373943239293933,-97.8837106914004,Entire home/apt,800,1,0,,,1,134
5606440,LAKEFRONT W DOCK CLOSE TO THE OASIS,1651456,Lydia,,78732,30.393922870684488,-97.8907732487837,Private room,85,2,9,2015-11-01,1.18,2,341
4394031,4 Bedroom Casita on UT Golf Course,22810123,Jeanie,,78732,30.357150765861263,-97.89132093891601,Entire home/apt,600,2,0,,,1,356
6066627,Beautiful home in Steiner Ranch,18845205,Brendan,,78732,30.372336351918246,-97.89821794318509,Entire home/apt,200,1,1,2015-08-09,0.33,1,349
8205083,Queen bed in fully furnished house,15303928,Chain,,78732,30.38278521081535,-97.87664478849257,Private room,1000,1,0,,,1,39
8647145,6BR/6BA Lake Austin Luxury Estate!,4122442,Karen,,78732,30.34136727455369,-97.92957627522146,Entire home/apt,1650,3,0,,,6,361
8538141,3BR Urban Lake House,31148752,Bo,,78732,30.39202961064944,-97.89353802795277,Entire home/apt,629,2,0,,,2,353
5391565,Lakeview 3 story home,4852962,,,78732,30.41612788570691,-97.89248852062177,Entire home/apt,225,2,3,2015-04-14,0.38,1,341
8538670,Stone & Timber Austin Estate,31148752,Bo,,78732,30.39553596553873,-97.88505582033909,Entire home/apt,469,2,1,2015-10-26,1,2,323
775002,Beautiful Lakehouse in Canyon Lake,4088310,Beatrice,,78732,30.337092743402724,-97.92791648684171,Entire home/apt,1500,1,0,,,1,365
5530513,Perfect Lake Austin Getaway!!,28680171,Ann,,78732,30.32817742651159,-97.92186298909455,Entire home/apt,565,2,7,2015-10-13,0.91,1,352
8681039,Lake Austin Cottage-1 block to lake,45584851,Jenelle,,78732,30.329602438509486,-97.9271828116747,Entire home/apt,250,2,0,,,1,355
5562945,SXSW Home for Rent Steiner Ranch,28842686,Brendan,,78732,30.373366271501517,-97.89921233390645,Entire home/apt,499,1,0,,,1,365
4704597,Hillcountry Reatreat Lake Austin ,24319090,Helen,,78732,30.329731864520866,-97.91975339843553,Entire home/apt,599,2,4,2015-09-08,0.78,1,361
3230604,2 bedrm Private Pool on Lake Travis,16350192,Kimberly,,78732,30.416504139260766,-97.88942629414478,Entire home/apt,149,1,15,2015-11-03,0.91,1,328
951773,WATERFRONT- STEINER RANCH/LAKEWAY,1651456,Lydia,,78732,30.39204079066124,-97.89259684380501,Private room,85,2,10,2015-11-01,2.17,2,361
8268970,"Austin Casita 
SW area",33604051,K,,78737,30.22408850822828,-97.91658965146327,Private room,110,1,0,,,1,352
7717113,Private Rm Quiet & 20 min from town,39525617,Dawn,,78737,30.22284489044335,-97.91193910958152,Private room,48,1,2,2015-09-09,0.72,1,297
8796080,"Private bedroom and bath, balcony",46094709,Linda,,78737,30.204852960661214,-97.92550511288033,Private room,89,2,0,,,1,142
1645518,The Curly J - hilltop mini-ranch!,8732670,Diane And Gary,,78737,30.212766246805337,-97.96575406921234,Entire home/apt,165,2,54,2015-10-24,2.15,1,157
2583106,Quiet Hill Country Get-Away,13226397,Pam And Mark,,78737,30.215204124203044,-97.98251645027098,Entire home/apt,115,2,19,2015-10-25,1.10,1,179
8812681,Victorian Elegance & Natural Beauty,31148752,Bo,,78737,30.218520173401163,-97.97831969430649,Entire home/apt,909,2,0,,,2,337
8192070,Hill Country Retreat,33563603,Chris,,78737,30.208201245712473,-97.94993985527907,Entire home/apt,135,2,2,2015-10-18,1.00,1,364
7733669,"""Casita Bohemia""- Studio on 3 acres",22677726,,,78737,30.17742921622167,-97.93749253013556,Entire home/apt,75,1,4,2015-10-20,3.33,1,338
3840726,Guest House on Bear Creek,19789267,Barbara & Alston,,78737,30.157930861333575,-97.9431148203281,Entire home/apt,145,2,38,2015-10-06,2.92,1,355
642674,Thistle Hill Studio DrippingSprings,2033896,Leslie,,78737,30.22089062923335,-98.00732409640031,Entire home/apt,125,2,20,2015-11-01,0.83,1,344
