entity_id,reldesc,reltype,relatedEntityId
60,Donation,Donation,113741
60,"Strategic Partner",Membership,41410
60,"Campaign Contribution",Donation,163590
60,"Campaign Contribution",Donation,170725
60,"Campaign Contribution",Donation,127596
60,"Member, Bioplastics Council",Membership,185670
60,"Founding member",Membership,185709
60,"Research Alliance member",Membership,134178
60,"lobbying client",Transaction,112465
60,"49% ownership",Ownership,228065
88,Contractor,Transaction,15750
88,Contractor,Transaction,15564
88,Contractor,Transaction,14667
88,Contractor,Transaction,14642
88,Contractor,Transaction,14655
88,Contractor,Transaction,14634
88,Contractor,Transaction,14618
88,Contractor,Transaction,14663
88,Contractor,Transaction,14666
88,Contractor,Transaction,37205
88,Contractor,Transaction,14745
88,Contractor,Transaction,14710
88,Contractor,Transaction,14649
88,Contractor,Transaction,37124
88,Contractor,Transaction,14694
88,Contractor,Transaction,14631
88,Contractor,Transaction,14650
88,Contractor,Transaction,14614
88,Contractor,Transaction,14652
88,Contractor,Transaction,14669
88,Contractor,Transaction,14653
88,Contractor,Transaction,14627
88,Contractor,Transaction,14676
88,Contractor,Transaction,14668
88,Contractor,Transaction,14622
88,Contractor,Transaction,14661
88,Contractor,Transaction,14615
88,Contractor,Transaction,14679
88,Contractor,Transaction,15585
88,Contractor,Transaction,14626
88,Contractor,Transaction,14681
88,Contractor,Transaction,14733
88,Contractor,Transaction,111260
88,Contractor,Transaction,14641
88,Contractor,Transaction,14732
88,Contractor,Transaction,14698
88,Contractor,Transaction,14621
88,Contractor,Transaction,14688
88,"Lobbying Client",Transaction,18352
88,"Lobbying Client",Transaction,21748
88,"Lobbying Client",Transaction,21752
88,"Lobbying Client",Transaction,21365
88,"Lobbying Client",Transaction,15908
88,"Lobbying Client",Transaction,21369
88,"Lobbying Client",Transaction,17410
88,"Lobbying Client",Transaction,21755
88,"Lobbying Client",Transaction,16611
88,"Lobbying Client",Transaction,18207
88,"Lobbying Client",Transaction,15495
88,"Lobbying Client",Transaction,16405
88,"Lobbying Client",Transaction,28643
88,"Direct Lobbying",Lobbying,14615
88,"Direct Lobbying",Lobbying,12884
88,"Direct Lobbying",Lobbying,28677
88,"Direct Lobbying",Lobbying,14682
88,"Direct Lobbying",Lobbying,12885
88,"Direct Lobbying",Lobbying,14609
88,"Direct Lobbying",Lobbying,14629
88,"Direct Lobbying",Lobbying,14703
88,"Direct Lobbying",Lobbying,14619
88,"Direct Lobbying",Lobbying,14607
88,"Direct Lobbying",Lobbying,14652
88,"Direct Lobbying",Lobbying,14655
88,"Direct Lobbying",Lobbying,14617
88,"Direct Lobbying",Lobbying,14618
88,"Direct Lobbying",Lobbying,15585
88,"Direct Lobbying",Lobbying,17006
88,"Direct Lobbying",Lobbying,14605
88,"Direct Lobbying",Lobbying,15586
88,"Direct Lobbying",Lobbying,15575
88,"Direct Lobbying",Lobbying,19098
88,"Direct Lobbying",Lobbying,21791
