ECRef,RegulatedEntityName,RegulatedEntityType,Value,AcceptedDate,AccountingUnitName,DonorName,AccountingUnitsAsCentralParty,IsSponsorship,DonorStatus,RegulatedDoneeType,CompanyRegistrationNumber,Postcode,DonationType,NatureOfDonation,PurposeOfVisit,DonationAction,ReceivedDate,ReportedDate,IsReportedPrePoll,ReportingPeriodName,IsBequest,IsAggregation,RegulatedEntityId,AccountingUnitId,DonorId,CampaigningName,RegisterName,IsIrishSource
C0103411,Labour Party,Political Party,"£10,000.00",09/06/2014,Central Party,Typepost Ltd,False,False,Company,,01480593,W1D 5EU,Cash,,,,09/06/2014,30/10/2014,False,Q2 2014,False,False,53,,49993,,Great Britain,False
C0066976,Conservative and Unionist Party,Political Party,"£8,750.00",01/12/2011,Huntingdon,Smithfield Consultants Ltd,False,False,Company,,04735490,EC1A 4HJ,Cash,,,,01/12/2011,30/01/2012,False,Q4 2011,False,False,52,1284,38777,,Great Britain,False
NC0038881,The Rt Hon Sajid Javid MP,Regulated Donee,"£13,704.00",01/07/2011,,Bloomberg UK,False,False,Company,MP - Member of Parliament,03430322,EC2A 1PQ,Non Cash,Other,,,20/05/2011,14/07/2011,False,August 2011,False,False,1797,,34696,,Great Britain,False
C0054523,No Campaign Limited,Permitted Participant,"£50,000.00",04/02/2011,,FIL Investment Management Ltd,False,False,Company,,02349713,TN11 9DZ,Cash,,,,04/02/2011,05/11/2011,False,Parliamentary Voting System Referendum 05/05/2011,False,False,1017,,38044,,,False
NC0037179,Mr Andrew Tyrie MP,Regulated Donee,"£13,800.00",01/02/2011,,Bloomberg LP,False,False,Company,MP - Member of Parliament,03430322,NY 10022,Non Cash,Other,,,01/02/2011,31/03/2011,False,May 2011,False,False,1380,,34170,,Great Britain,False
C0026726,Conservative and Unionist Party,Political Party,"£25,000.00",25/11/2010,Central Party,FIL Investment Management Ltd,False,False,Company,,02349713,TN11 9DZ,Cash,,,,25/11/2010,30/01/2011,False,Q4 2010,False,False,52,,26726,,Great Britain,False
C0026662,Liberal Democrats,Political Party,"£25,000.00",30/09/2010,Central Party,Bloomberg Tradebook Europe Ltd,False,False,Company,,03556095,EC2A 1PQ,Cash,,,,30/09/2010,29/03/2011,False,Q3 2010,False,False,90,,26662,,Great Britain,False
C0026542,Labour Party,Political Party,"£9,000.00",15/09/2010,Central Party,Typepost Ltd,False,False,Company,,01480593,W1F 8FY,Cash,,,,15/09/2010,30/10/2010,False,Q3 2010,False,False,53,,26542,,Great Britain,False
C0026327,Conservative and Unionist Party,Political Party,"£25,000.00",18/08/2010,Central Party,FIL Investment Management Ltd,False,False,Company,,02349713,TN11 9DZ,Cash,,,,18/08/2010,29/10/2010,False,Q3 2010,False,False,52,,26327,,Great Britain,False
C0025048,Conservative and Unionist Party,Political Party,"£200,000.00",23/06/2010,Central Party,MECM Ltd,False,False,Company,,03144922,EC2Y 8HQ,Cash,,,,23/06/2010,30/07/2010,False,Q2 2010,False,False,52,,25048,,Great Britain,False
C0025193,Conservative and Unionist Party,Political Party,"£25,000.00",19/05/2010,Central Party,Bloomberg Tradebook Europe Ltd,False,False,Company,,03556095,EC2A 1PQ,Cash,,,,19/05/2010,30/07/2010,False,Q2 2010,False,False,52,,25193,,Great Britain,False
C0025570,Labour Party,Political Party,"£30,875.00",07/05/2010,Central Party,Bloomberg Tradebook Europe (Sponsorship),False,True,Company,,03556095,EC2A 1PQ,Cash,,,,07/05/2010,30/07/2010,False,Q2 2010,False,False,53,,25570,,Great Britain,False
NC0031473,Conservative and Unionist Party,Political Party,"£4,600.00",04/05/2010,Central Party,Bloomberg Tradebook Europe Ltd,False,False,Company,,03556095,EC2A 1PQ,Non Cash,Premises,,,04/05/2010,30/07/2010,False,Q2 2010,False,True,52,,31473,,Great Britain,False
C0025854,Labour Party,Political Party,"£2,000.00",21/04/2010,North East Somerset CLP,Political Animal Lobby Limited,False,False,Company,,02565899,W1G 9RQ,Cash,,,,21/04/2010,30/07/2010,False,Q2 2010,False,False,53,528,25854,,Great Britain,False
C0025853,Labour Party,Political Party,"£2,000.00",01/04/2010,Gedling CLP,Political Animal Lobby Limited,False,False,Company,,02565899,W1G 9RQ,Cash,,,,01/04/2010,30/07/2010,False,Q2 2010,False,False,53,303,25853,,Great Britain,False
C0024442,Labour Party,Political Party,"£20,000.00",24/03/2010,Central Party,Typepost Ltd,False,False,Company,,01480593,W1F 8FY,Cash,,,,24/03/2010,30/04/2010,False,Q1 2010,False,False,53,,24442,,Great Britain,False
C0023912,Conservative and Unionist Party,Political Party,"£3,000.00",13/03/2010,The Wrekin,Political Animal Lobby Ltd,False,False,Company,,02565899,E6 2JG,Cash,,,,12/03/2010,30/04/2010,False,Q1 2010,False,False,52,1649,23912,,Great Britain,False
NC0031113,Liberal Democrats,Political Party,"£4,600.00",31/12/2009,Central Party,Bloomberg Tradebook Europe,False,False,Company,,03556095,EC2A 1PQ,Non Cash,Consultancy services,,,31/12/2009,30/01/2010,False,Q4 2009,False,True,90,,31113,,Great Britain,False
NC0031273,Conservative and Unionist Party,Political Party,"£13,800.00",31/12/2009,Central Party,Bloomberg Tradebook Europe Ltd,False,False,Company,,03556095,EC2A 1PQ,Non Cash,Premises,,,31/12/2009,30/01/2010,False,Q4 2009,False,False,52,,31273,,Great Britain,False
C0023544,Conservative and Unionist Party,Political Party,"£2,500.00",03/12/2009,Worcester,InterMarine Offshore Services Limited,False,False,Company,,02657940,CT20 2SE,Cash,,,,03/12/2009,30/01/2010,False,Q4 2009,False,False,52,1731,23544,,Great Britain,False
C0021545,Conservative and Unionist Party,Political Party,"£125,000.00",18/09/2009,Central Party,FIL Investment Management Ltd,False,False,Company,,02349713,TN11 9DZ,Cash,,,,18/09/2009,30/10/2009,False,Q3 2009,False,False,52,,21545,,Great Britain,False
C0021860,Conservative and Unionist Party,Political Party,"£25,000.00",28/08/2009,Central Party,Bloomberg Tradebook Europe Ltd,False,False,Company,,03556095,EC2A 1PQ,Cash,,,,28/08/2009,30/10/2009,False,Q3 2009,False,False,52,,21860,,Great Britain,False
C0020656,Conservative and Unionist Party,Political Party,"£25,000.00",01/06/2009,Central Party,FIL Investment Management Ltd,False,False,Company,,02349713,TN11 9DZ,Cash,,,,01/06/2009,30/07/2009,False,Q2 2009,False,False,52,,20656,,Great Britain,False
NC0030652,Conservative and Unionist Party,Political Party,"£5,750.00",31/12/2008,Central Party,Bloomberg Tradebook Europe Ltd,False,False,Company,,03556095,EC2A 1PQ,Non Cash,Premises,,,31/12/2008,29/01/2009,False,Q4 2008,False,False,52,,30652,,Great Britain,False
C0015817,Liberal Democrats,Political Party,"£25,000.00",30/09/2007,Central Party,Bloomberg Tradebook Europe Ltd (Sponsorship),False,True,Company,,03556095,EC2A 1PQ,Cash,,,,20/09/2007,30/10/2007,False,Q3 2007,False,False,90,,15817,,Great Britain,False
C0015647,Labour Party,Political Party,"£29,375.00",10/09/2007,Central Party,Bloomberg Tradebook Europe Ltd (Sponsorship),False,True,Company,,03556095,EC2A 1PQ,Cash,,,,10/09/2007,30/10/2007,False,Q3 2007,False,False,53,,15647,,Great Britain,False
C0015562,Labour Party,Political Party,"£5,500.00",24/08/2007,Central Party,Apco UK Ltd,False,False,Company,,02516364,WC2E 9RA,Cash,,,,24/08/2007,30/10/2007,False,Q3 2007,False,False,53,,15562,,Great Britain,False
C0015864,Conservative and Unionist Party,Political Party,"£25,000.00",12/07/2007,Central Party,Fidelity Investment Management,False,False,Company,,02349713,TN11 9DZ,Cash,,,,12/07/2007,30/10/2007,False,Q3 2007,False,False,52,,15864,,Great Britain,False
C0014706,Conservative and Unionist Party,Political Party,"£30,000.00",17/04/2007,Central Party,Fidelity Investment Management,False,False,Company,,02349713,TN11 9DZ,Cash,,,,17/04/2007,27/07/2007,False,Q2 2007,False,False,52,,14706,,Great Britain,False
C0014438,Conservative and Unionist Party,Political Party,"£6,000.00",13/03/2007,Central Party,Edison School UK Ltd,False,False,Company,,04624666,EC1R 5HL,Cash,,,,13/03/2007,30/04/2007,False,Q1 2007,False,False,52,,14438,,Great Britain,False
C0014347,Conservative and Unionist Party,Political Party,"£40,000.00",14/02/2007,Central Party,Fidelity Investment Management,False,False,Company,,02349713,TN11 9DZ,Cash,,,,14/02/2007,30/04/2007,False,Q1 2007,False,False,52,,14347,,Great Britain,False
C0013237,Conservative and Unionist Party,Political Party,"£40,000.00",09/10/2006,Central Party,Fidelity Investment Management,False,False,Company,,02349713,TN11 9DZ,Cash,,,,09/10/2006,30/01/2007,False,Q4 2006,False,False,52,,13237,,Great Britain,False
C0012715,Liberal Democrats,Political Party,"£22,225.00",21/09/2006,Central Party,Bloomberg Tradebook Europe Ltd - Sponsorship,False,True,Company,,03556095,EC2A 1PQ,Cash,,,,16/09/2006,30/10/2006,False,Q3 2006,False,False,90,,12715,,Great Britain,False
C0012945,Labour Party,Political Party,"£29,375.00",19/09/2006,Central Party,Bloomberg Tradebrook Group,False,False,Company,,03556095,EC2A 1PX,Cash,,,,19/09/2006,30/10/2006,False,Q3 2006,False,False,53,,12945,,Great Britain,False
C0012812,Conservative and Unionist Party,Political Party,"£40,000.00",12/07/2006,Central Party,Fidelity Investment Management,False,False,Company,,02349713,TN11 9DZ,Cash,,,,12/07/2006,30/10/2006,False,Q3 2006,False,False,52,,12812,,Great Britain,False
C0012193,Conservative and Unionist Party,Political Party,"£40,000.00",03/04/2006,Central Party,Fidelity Investment Management,False,False,Company,,02349713,TN11 9DZ,Cash,,,,03/04/2006,27/07/2006,False,Q2 2006,False,False,52,,12193,,Great Britain,False
NC0029374,Liberal Democrats,Political Party,"£3,500.00",31/12/2005,Central Party,Bloomberg Tradebook Europe Ltd,False,False,Company,,03556095,EC2A 1PQ,Non Cash,Other,,,31/12/2005,30/01/2006,False,Q4 2005,False,True,90,,29374,,Great Britain,False
